Training Accuracy,Validation Accuracy,Training Loss,Validation Loss
0.15296317636966705,0.15895278751850128,2.9066567420959473,2.8109657764434814
0.16677920520305634,0.21365123987197876,2.726457118988037,2.5618743896484375
0.2922661304473877,0.45067790150642395,2.3161020278930664,1.9494612216949463
0.6368358135223389,0.7461430430412292,1.5494258403778076,1.2626824378967285
0.8216901421546936,0.8564749956130981,1.073029637336731,0.9359514713287354
0.8637614846229553,0.8840579986572266,0.8881949782371521,0.823384702205658
0.8820443749427795,0.8863955140113831,0.7984596490859985,0.7751635313034058
0.893523097038269,0.8817204236984253,0.7349287271499634,0.7391244769096375
0.8991326093673706,0.894810676574707,0.6938720345497131,0.7119414210319519
0.903963029384613,0.8952781558036804,0.6621603965759277,0.6975658535957336
0.9058848023414612,0.9088358879089355,0.6373323202133179,0.6422472596168518
0.911182701587677,0.9083684086799622,0.6136793494224548,0.6532554626464844
0.9134680032730103,0.9116409420967102,0.5980620384216309,0.6127614378929138
0.9174674153327942,0.9083684086799622,0.5763360261917114,0.6179332137107849
0.9158053398132324,0.9172510504722595,0.5781660079956055,0.6078693270683289
0.9204279780387878,0.9153810143470764,0.5607432723045349,0.6051645874977112
0.9214667677879333,0.9191210865974426,0.5499190092086792,0.5871848464012146
0.9240638017654419,0.9223936200141907,0.5341928005218506,0.5618585348129272
0.9247390031814575,0.9237961769104004,0.5327549576759338,0.5527276992797852
0.9264529943466187,0.9308087825775146,0.5233929753303528,0.539880096912384
0.9258816838264465,0.9251986742019653,0.519130289554596,0.5592494010925293
0.925777792930603,0.9247311949729919,0.5137579441070557,0.5479835271835327
0.9287383556365967,0.9214586019515991,0.5078662633895874,0.5442959070205688
0.9292058348655701,0.9261336922645569,0.49882522225379944,0.551127016544342
0.9301407337188721,0.92800372838974,0.5001782178878784,0.5403112769126892
0.9322702884674072,0.9284712672233582,0.48790472745895386,0.5404472351074219
0.9335168600082397,0.9237961769104004,0.4808730185031891,0.5181302428245544
0.9328416585922241,0.9322113394737244,0.4800431728363037,0.5335612297058105
0.9356983304023743,0.936418890953064,0.47515615820884705,0.5161917209625244
0.9332051873207092,0.9303413033485413,0.47528424859046936,0.5134043097496033
0.9359061121940613,0.9312763214111328,0.4639561176300049,0.5034416317939758
0.936425507068634,0.9359513521194458,0.4596797823905945,0.48458728194236755
0.9391782879829407,0.9214586019515991,0.4523809552192688,0.5257272124290466
0.9358541369438171,0.9270687103271484,0.46036168932914734,0.5036750435829163
0.936217725276947,0.9298737645149231,0.4550866484642029,0.5155341029167175
0.9388666749000549,0.9359513521194458,0.4517475664615631,0.5113732814788818
0.9392821788787842,0.9359513521194458,0.44889432191848755,0.48692837357521057
0.9383991956710815,0.9308087825775146,0.44504255056381226,0.5186690092086792
0.9423986077308655,0.9382889270782471,0.43850719928741455,0.48071151971817017
0.9411000609397888,0.9382889270782471,0.43607524037361145,0.4819623529911041
0.9405287504196167,0.9336138367652893,0.43883436918258667,0.4893284738063812
0.9383472800254822,0.9368863701820374,0.4419352412223816,0.4879516661167145
0.9406326413154602,0.9373539090156555,0.4314477741718292,0.4752441644668579
0.9433854222297668,0.9429640173912048,0.42623886466026306,0.47055092453956604
0.9427621960639954,0.9406264424324036,0.4241022765636444,0.4767780900001526
0.9406845569610596,0.9382889270782471,0.4253779351711273,0.47032400965690613
0.9430218935012817,0.9424964785575867,0.4202316701412201,0.4781726002693176
0.9418792128562927,0.9424964785575867,0.4241239130496979,0.46300527453422546
0.9414117336273193,0.9401589632034302,0.42112934589385986,0.46888911724090576
0.9434893131256104,0.9406264424324036,0.41556626558303833,0.46967267990112305
0.9439048171043396,0.9410939812660217,0.4153037965297699,0.4690498411655426
0.9403729438781738,0.9457690715789795,0.41792258620262146,0.4581553637981415
0.945514976978302,0.9354838728904724,0.40659791231155396,0.47495415806770325
0.9433854222297668,0.9331463575363159,0.41174718737602234,0.47269731760025024
0.9460863471031189,0.9322113394737244,0.40495291352272034,0.4816462993621826
0.945514976978302,0.936418890953064,0.40638357400894165,0.44546636939048767
0.9452033638954163,0.9345488548278809,0.4015805423259735,0.4756149351596832
0.9449436664581299,0.9415614604949951,0.4013034701347351,0.45082756876945496
0.9455669522285461,0.9336138367652893,0.39793962240219116,0.4624042212963104
0.9463979601860046,0.9424964785575867,0.3950238823890686,0.45093968510627747
0.9471251368522644,0.9382889270782471,0.39242440462112427,0.4487845301628113
0.9438529014587402,0.9453015327453613,0.4015279710292816,0.4495791494846344
0.9457746744155884,0.9308087825775146,0.3970033824443817,0.4967958629131317
0.946865439414978,0.9401589632034302,0.38989177346229553,0.44899895787239075
0.9473848342895508,0.9359513521194458,0.3871425986289978,0.44351667165756226
0.9476445317268372,0.9438990354537964,0.3876837193965912,0.44069376587867737
0.9493585228919983,0.9462365508079529,0.3814801573753357,0.4451499581336975
0.9481120109558105,0.9438990354537964,0.3864268958568573,0.4352600574493408
0.9476445317268372,0.9401589632034302,0.3840574324131012,0.44399508833885193
0.9481639266014099,0.9331463575363159,0.38671645522117615,0.46089088916778564
0.9488911032676697,0.9448340535163879,0.3817530870437622,0.429031640291214
0.948735237121582,0.9410939812660217,0.3750562071800232,0.44217920303344727
0.9490469098091125,0.9420289993286133,0.3776620626449585,0.43958982825279236
0.9499818086624146,0.9326788187026978,0.37738531827926636,0.4447152018547058
0.9496701955795288,0.9443665146827698,0.37295010685920715,0.42747652530670166
0.9490988254547119,0.9415614604949951,0.3746507167816162,0.42873552441596985
0.9502415060997009,0.9359513521194458,0.3743588626384735,0.4505522549152374
0.9479561448097229,0.9443665146827698,0.37718820571899414,0.43044546246528625
0.9505531787872314,0.9387564063072205,0.36835527420043945,0.4253504276275635
0.9496182203292847,0.9448340535163879,0.36840298771858215,0.4330306947231293
0.9486314058303833,0.9406264424324036,0.37268516421318054,0.43918943405151367
0.9504492878913879,0.9378213882446289,0.36771807074546814,0.4400908052921295
0.951591968536377,0.9448340535163879,0.3624511659145355,0.4394136667251587
0.9492546319961548,0.9429640173912048,0.3699227571487427,0.4255353510379791
0.9508647918701172,0.9406264424324036,0.3658673167228699,0.431597501039505
0.9507089853286743,0.9392239451408386,0.36375999450683594,0.42913389205932617
0.9520074725151062,0.9378213882446289,0.3610932230949402,0.4378359913825989
0.9489949345588684,0.948106586933136,0.3654467761516571,0.4296630322933197
0.9503973126411438,0.939691424369812,0.3644949793815613,0.42573055624961853
0.9507089853286743,0.9415614604949951,0.363599568605423,0.4202316105365753
0.9501376152038574,0.9471715688705444,0.36367738246917725,0.4096694588661194
